,idiom,meaning,example,idiomatic_part
214,go with the flow,Meaning: to do what other people are doing in any particular situation,"Example: Kevin didn't want to be part of the protest, but all his friends wanted to stand for something, so he chose to go with the flow. Read on",go with the flow
215,neck and neck,Meaning: extremely near one another,Example: The two athletes have been neck and neck for this entire race. Read on,neck and neck
216,under the radar,Meaning: off the radar,"Example: They managed to stay under the radar for years, after stealing all that money from their friends. Read on",under the radar
217,get your goat,Meaning: irritate somebody,Example: She got my goat the moment she said my mother was no good at parenting. Read on,got my goat
218,piece of writing,"Meaning: the work of a writer, anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)",Example: The editorial was a fine piece of writing. Read on,piece of writing
219,speak soon,Meaning: talk to you soon,"Example: Thank you so much for your assistance Sandra, speak soon. Read on",speak soon
220,piece of work,"Meaning: a complex, tricky, or odd person","Example: My friend has the weirdest of opinions, he's a real piece of work. Read on",piece of work
221,stand out,Meaning: extend beyond or above a surface,Example: The blood vessels in the back of his right leg stood out. Read on,stood out
222,road to recovery,Meaning: the procedure of becoming healthy again,Example: The Grecian Government was supposed to put Europe on the road to recovery from the Economic and financial crisis. Read on,on the road to recovery
223,slip of the tongue,Meaning: a mistake in speech (or writing),"Example: The election bill was altered, by what I believe was a slip of the pen. Read on",slip of the pen
224,over and above,Meaning: in addition to,Example: Firefighters always go over and above to ensure that people are safe. Read on,over and above
225,over and over again,Meaning: again and again,Example: I have cleaned up this mess over and over again but ever time I come back it is dirty again. Read on,over and over again
226,over and out,Meaning: said when someone is finished talking,Example: I have told you that you will not be going to the party. There will be no further discussion. Over and out. Read on,Over and out
227,prone to,Meaning: having a tendency to something - usually awful or unfortunate,Example: Kindly drive slow; this road is prone to accidents. Read on,prone to
228,get off,Meaning: to leave a place in order to start a journey,Example: If we get off before five o'clock the traffic will not be as bad. Read on,get off
229,on the mend,Meaning: to improve in health after an illness,Example: After a long illness he is finally on the mend. Read on,on the mend
230,look forward,Meaning: to eagerly await something,Example: I am looking forward to seeing my best friend next weekend. I have not seen him for six months. Read on,looking forward to
231,like a hole in the head,Meaning: to have absolutely no need for something,"Example: I need a new friend is like a hole in the head, I am good to be single. Read on",like a hole in the head
232,snow job,Meaning: an elaborate cover up of something,"Example: The new CEO promises that the company performed very well this year. He has yet to release the financial statements, I am afraid that it's a snow job. Read on",snow job
233,in the nick of time,Meaning: almost too late,Example: He arrived at the wedding in the nick of time. Read on,in the nick of time
234,bump into,Meaning: to meet someone by chance/accident,Example: It was so nice to bump into you last week. I haven't seen you in years. Read on,bump into
235,I could eat a horse,Meaning: to be extremely hungry,Example: Could we please go out and get some dinner? I am so hungry that I could eat a horse. Read on,I could eat a horse
236,low hanging fruit,Meaning: a goal that can be easily reached,Example: There are a lot of things that need to be completed for our project. I would suggest that we start with the low hanging fruit. Read on,low hanging fruit
237,double take,Meaning: to be so surprised at something that you have to take another look (American meaning),Example: I did a double take when I saw how much weight my best friend had lost. Read on,double take
238,the devil is in the detail,Meaning: It means that when you do not concentrate on the details of something you may run into unexpected problems,"Example: ""Have you seen my beautiful new bag? I paid a fortune for it.""
""Really? It is a fake. The stitching of the original bags is blue, not green.""
""How disappointing. I guess the devil is in the details."" Read on",the devil is in the details
